text,true_type,true_stance,llm_raw_output,predicted_type,predicted_stance
Should we be able to choose our own High School Curriculum.,claim,con,Claim: Should we be able to choose our own High School Curriculum.Premise: I believe that we should be able to choose our own high school curriculum. I believe that we should be able to choose our own high school curriculum because we are the ones who will be learning it. We should be able to choose our own curriculum because we are the ones who will be learning it. We should be able to choose our own curriculum because,claim,unknown
"no because the people that built your school was my cousins, how dare you even make fun of my family like that",premise,con,,unknown,unknown
should we be able to express religion in school,claim,pro,**,unknown,unknown
in public school you have a right to express your individuality,premise,pro,**,unknown,unknown
Should we be able to time travel,claim,con,"**

1. The premise is that time travel is possible. 2. The main claim is that we should be able to time travel. 3. The main argument is that time travel is not possible. 4. The main premise is that time travel is possible. 5. The main argument is that we should be able to time travel. 6. The main premise is that time travel is not possible. 7. The main argument is that time travel",claim,unknown
I don't think we should time travel because it could easily mess the future or past up. Think about all of the books and movies about time travel it's almost all negative that's probably a sign. Also we haven't figured out how to time travel yet and it's taking us a long time and that probably means we shouldn't.,premise,con,Claim: Time travel is not a good idea. Premise: Time travel is a dangerous and unpredictable concept. It is not a good idea. It is not a good idea because it could easily mess up the future or past. It is not a good idea because it is taking us a long time to figure out how to time travel. It is not a good idea because it is taking us a long time and that probably means we shouldn't.,claim,pro
Should we be allowed to clone,claim,pro,,unknown,unknown
"I think that we should NOT have the right to clone! Even though it may seem pretty cool that cloning is already out there, it may seem pretty to those who don't want to clone. For instance, what if anything goes wrong in the method? Could people in the society incidentally get killed? Or could it be deliberate? The thing is, that cloning is already out there! You may not apprehend it because people or critters look the same as cherished ones or beloved creatures! Something may go wrong in the making and in a second the feeling of the person or creature could change (Clones don't have emotions! They are like robots!) and maybe someday clones will overtake our atmosphere! It may seem pretty absurd what I am transcribing, but I can assure you to be in my faction! To say that cloning is immoral and that we should discover an innovative way to help people exist longer with natural resources and 'human' elements! For one, there are health perils going into this manner! There are also emotional risks and there could be undiscovered consequences. There could be a mutation of a human's body and a canine's head! It could happen! Another reason that cloning is dangerous is because there will be too many people on earth! Clones can not depart unless killed. The administration would not have enough funds to maintain all of these people! Another large reason to not consider cloning is because clones do not care about religion! Consider it or not, we all have a religion even if you think that you don't! If you were a clone, you could probably not have children! They can not make a clone have the same parts as a natural human being! Clones are manufactured! The whole process messes with our ecosystem! These are the reasons that cloning should not follow! Accept it or not! Cloning certainly does exist, and its pretty frightening!",premise,pro,,unknown,unknown
Should we be allowed to drive at 14,claim,con,"**

Claim: Should we be allowed to drive at 14",claim,unknown
Uhg!,premise,con,Claim: The United States should not be a member of the United Nations.Premise: The United States should not be a member of the United Nations because it is a bad organization. The United Nations is a bad organization because it is a governmental organization that is not democratic. The United Nations is a governmental organization that is not democratic because it is controlled by the United States. The United States is a governmental organization that is not democratic because it is,claim,con
should we be allowed to use ipods durind school for music,claim,pro,Claim: Should we be allowed to use ipods during school for music.Premise: I will be arguing that we should not be allowed to use ipods during school for music.Claim: Should we be allowed to use ipods during school for music.Premise: I will be arguing that we should not be allowed to use ipods during school for music.Claim: Should we be allowed to use ipods during school for music.Premise:,claim,unknown
we shold be allowed because you cant go on inter net or text if you dont have the wi-fi password and the teachers would watch you while you do work and stuff,premise,pro,Claim: We should be allowed to use the internet at school.Premise: I will be arguing that we should be allowed to use the internet at school.Claim: We should be allowed to use the internet at school.Premise: 1. We should be allowed to use the internet at school because it is a great way to learn and to communicate with others.2. We should be allowed to use the internet at school because it is a great way to learn,claim,unknown
should we be allowing children to watch movies with social commentary and/or harder themes,claim,con,**,unknown,unknown
